0
0
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.99,0.01,0>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.99,0.01,0>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.99,0.01,0>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.99,0.01,0>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.99,0.01,0>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.99,0.01,0>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.99,0.01,0>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.99,0.01,0>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.99,0.01,0>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.99,0.01,0>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.99,0.01,0>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.99,0.01,0>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.99,0.01,0>}] generated by model agent_sir_config_62
1
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.98,0.01,0.01>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.98,0.01,0.01>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.98,0.01,0.01>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.98,0.01,0.01>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.98,0.01,0.01>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.98,0.01,0.01>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.96,0.03,0.01>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.98,0.01,0.01>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.98,0.01,0.01>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.98,0.01,0.01>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.91,0.08,0.01>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.98,0.01,0.01>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.98,0.01,0.01>}] generated by model agent_sir_config_62
2
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.97,0.01,0.02>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.97,0.01,0.02>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.97,0.01,0.02>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.97,0.01,0.02>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.97,0.01,0.02>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.97,0.01,0.02>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.93,0.04,0.03>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.96,0.02,0.02>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.97,0.01,0.02>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.97,0.01,0.02>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.81,0.13,0.06>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.97,0.01,0.02>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.97,0.01,0.02>}] generated by model agent_sir_config_62
3
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.96,0.01,0.03>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.96,0.01,0.03>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.96,0.01,0.03>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.96,0.01,0.03>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.96,0.01,0.03>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.96,0.01,0.03>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.9,0.05,0.05>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.94,0.03,0.03>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.96,0.01,0.03>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.96,0.01,0.03>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.71,0.15,0.14>}] generated by model agent_sir_config_60
